Link Dokumen,Wilayah,Tahun,Jenis Dokumen,Kerja Sama
https://drive.google.com/file/d/1Zye1qIRBgCaKp6QLlzCBUDAQJFvEcjT3/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_20jwNr2Ha8WsKG4ho4Tps5m3ULBg2rU/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_ZJiVeflhXIvqYdVreLWeLDlTlfTeyIM/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_WJhVhqJDuzZBZO1uhagUNuswNIzD66i/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_UD2c5mTOz9v1nCNtLYADYeL7x8o_g22/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1cGzgsoTK5pdrpnBxNlgRC9pvXV0ZXVxm/view?usp=drive_link,LOKAL,2021,MOU,
https://drive.google.com/file/d/1Fd6_4Y3flfmP3rge-8AFOLYMAgFsrZex/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1EZPAvUEBzPJd0e7VzkzjaNZlep5Pi4EO/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1tZNkmxglu22PP0AgYOEs4iRaG1F5qnKV/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1Hsy90Z4qL5Aj-rM_U3F_eImBaYytH5G6/view?usp=sharing,NASIONAL,2021,MOU,
https://drive.google.com/file/d/1VbMl3CJtj7XVFRI3PY2L8vnDk5crr-0V/view?usp=sharing,LOKAL,2021,MOU,
https://drive.google.com/file/d/1_0S3WVScKNXLKplqwTAW9N-0hAj2Rvtt/view?usp=sharing,NASIONAL,2021,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1Zg6JtX0Tq6KPx1AWjYso1yVxtBYKfbfc/view?usp=sharing,NASIONAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1ZYxLPQ63K-Hu1kadAdte5mdwqJ-4NAHO/view?usp=sharing,LOKAL,2021,PKS,Pengabdian Kepada Masyarakat
https://drive.google.com/file/d/1Zq2hb_vDG10MTnke9ZVMQM21z1Zt_xfn/view?usp=sharing,LOKAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1ZfrnOs4Pe29NoDIbL2J-czJrKiX1_9od/view?usp=sharing,LOKAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1Zmv2j_Pq4fGDdOO1L_xwfIS8Rx6piowm/view?usp=sharing,LOKAL,2021,PKS,Lainnya
https://drive.google.com/file/d/1ZfiYCO63a7Kbpgzcq6iNaNeCU3GkLfQi/view?usp=sharing,LOKAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1Ze5Tsge-2w_vJO3ZOb95SgX1H8I14Tli/view?usp=sharing,NASIONAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_kGGb4kKIBgeLrWWCUFyUxwd1GnFtAcf/view?usp=sharing,LOKAL,2021,PKS,Penyewaan Aset BMN
https://drive.google.com/file/d/1_3qavfrDJm4exnDy8Q_XYub-gHOjwBur/view?usp=sharing,NASIONAL,2021,PKS,Pelatihan
https://drive.google.com/file/d/1ZvgwYgTAqocFb3C7CP7W2HpfpojcPTPz/view?usp=sharing,LOKAL,2021,PKS,Pengembangan Pusat Penelitian dan Pengembangan Keilmuan
https://drive.google.com/file/d/1_29cDACG58hhfQ62iINrsyqJJ-d9krjz/view?usp=sharing,LOKAL,2021,PKS,Pelatihan
https://drive.google.com/file/d/1ZckWiphNWuxGDuUkoqjXn4-gcVAjbEcA/view?usp=sharing,LOKAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1Zv7_kNAs3n8FBuz38bQ90aO3zXljHI7o/view?usp=sharing,NASIONAL,2021,PKS,Jasa dari Mitra
https://drive.google.com/file/d/1_S21tiqRKVCXAGdbz1rIw_KdJ2eetUkU/view?usp=sharing,LOKAL,2021,PKS,Pelatihan
https://drive.google.com/file/d/1ZsFGfrmfFPDTmxfeO4af8Ifm8OjcF-no/view?usp=sharing,NASIONAL,2021,PKS,Pelatihan
https://drive.google.com/file/d/1_fczVEj04-HOFTvov3X55g7FBUky23XN/view?usp=sharing,LOKAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1ZqzA6gvgFKE0-7vTx9L-d_VBJESByf8a/view?usp=sharing,LOKAL,2021,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_dcfhQY6nLeK_J5OBxyxEo2LWpwQwNrM/view?usp=sharing,LOKAL,2021,PKS,Pengabdian Kepada Masyarakat
https://drive.google.com/file/d/1_dIp3AfpjDLmdLLGnO-HYrbw3qG71cnW/view?usp=sharing,LOKAL,2021,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_cUKP_VwENBY0xdnBrjkSEj25r0_lcZB/view?usp=sharing,LOKAL,2021,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_a3lKw87GOo2ui9ZbUzKBHyHmrmsFdP5/view?usp=sharing,LOKAL,2021,PKS,Pengabdian Kepada Masyarakat
https://drive.google.com/file/d/1ZqMsA5Ks_CUQmX3sByhufZVNo4bnQuKI/view?usp=sharing,LOKAL,2021,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_ZyZRpmoCy__YFCoqdGG2iJVi97yymPK/view?usp=sharing,LOKAL,2021,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1_Alkq-YVziDt-sS3rMBS8RQDgQDe6p3U/view?usp=sharing,NASIONAL,2021,PKS,Pelatihan
https://drive.google.com/file/d/1_8RF7gMvXcecpr8EbAlnzwbt9gGMC-fH/view?usp=sharing,NASIONAL,2021,PKS,Penelitian/Riset-Kampus Merdeka
https://drive.google.com/file/d/1_h4w9R8Dw3WwT4s6FX9Xi9pnGBp7wu96/view?usp=sharing,NASIONAL,2021,PKS,Pelatihan Dosen dan Instruktur
https://drive.google.com/file/d/1aR2tK8mCa5Zx-tVu6dBLm4Vn-hBJaeUP/view?usp=sharing,NASIONAL,2021,PKS,Jasa dari Mitra
https://drive.google.com/file/d/1_-PNAibaPx08OqIUF0KQPz4i-80FSR_t/view?usp=drive_link,NASIONAL,2021,PKS,Penyewaan Aset BMN
https://drive.google.com/file/d/1_UneFd3fAAc3VAdFTPeB5QfZubaouxWo/view?usp=sharing,NASIONAL,2021,PKS,Lainnya
https://drive.google.com/file/d/1WjXWS8r63VBN_yYfatiVulUAgWA3b3q6/view?usp=sharing,LOKAL,2021,PKS,Magang/ Praktik Kerja-Kampus Merdeka
