id,provinsi,kabupaten_kota
8x87xrw5,Kepulauan Bangka Belitung,Belitung
f41fa98a,Kepulauan Bangka Belitung,Bangka Selatan
26n9s341,Kepulauan Bangka Belitung,Bangka Tengah
ry9noe8t,Kepulauan Bangka Belitung,Bangka Barat
921r8277,Kepulauan Bangka Belitung,Belitung Timur
ih3e8921,Kepulauan Bangka Belitung,Kota Pangkal Pinang
e6u7zg4b,Kepulauan Riau,Bintan
ob112o0h,Kepulauan Riau,Karimun
n7finbcg,Kepulauan Riau,Natuna
y63zt383,Kepulauan Riau,Lingga
sw78u0n8,Kepulauan Riau,Kepulauan Anambas
9gn08tbz,Kepulauan Riau,Kota Batam
s46059x0,Kepulauan Riau,Kota Tanjung Pinang
t76j59y7,DKI Jakarta,Kepulauan Seribu
7j1j2k62,DKI Jakarta,Kota Jakarta Pusat
107z9tq3,DKI Jakarta,Kota Jakarta Utara
cuh51315,DKI Jakarta,Kota Jakarta Barat
8aoplq90,DKI Jakarta,Kota Jakarta Selatan
oyy509i6,DKI Jakarta,Kota Jakarta Timur
srd7v38w,Jawa Barat,Bogor
6nz34n8i,Jawa Barat,Sukabumi
nkor1y6t,Jawa Barat,Cianjur
oa889jhd,Jawa Barat,Bandung
7ynz4k62,Jawa Barat,Garut
xvjh210m,Jawa Barat,Tasikmalaya
51z0o3z2,Jawa Barat,Ciamis
35cc9w77,Jawa Barat,Kuningan
rh1m167z,Jawa Barat,Cirebon
oh95r4ri,Jawa Barat,Sumedang
665ybc47,Jawa Barat,Indramayu
40l0lm1y,Jawa Barat,Subang
681t40g4,Jawa Barat,Purwakarta
tz484zes,Jawa Barat,Karawang
4r9qk025,Jawa Barat,Bekasi
xkhmlm3x,Jawa Barat,Bandung Barat
3sgx2p8y,Jawa Barat,Pangandaran
88f337ea,Jawa Barat,Kota Bogor
32y62w5n,Jawa Barat,Kota Sukabumi
0gut9920,Jawa Barat,Kota Bandung
nm0lvbvb,Jawa Barat,Kota Cirebon
1n6f602q,Jawa Barat,Kota Bekasi
zzqe77kj,Jawa Barat,Kota Depok
20ghq2n3,Jawa Barat,Kota Cimahi
4bxaoyg5,Jawa Barat,Kota Tasikmalaya
r5fmo4qk,Jawa Barat,Kota Banjar
2co3o7f4,Jawa Tengah,Cilacap
ne5y178i,Jawa Tengah,Banyumas
qk2338vo,Jawa Tengah,Purbalingga
3xm8t72x,Jawa Tengah,Banjarnegara
b47p45c3,Jawa Tengah,Kebumen
o8h69832,Jawa Tengah,Purworejo
blc0ntyg,Jawa Tengah,Wonosobo
5cq484ei,Jawa Tengah,Magelang
q37i69f5,Jawa Tengah,Boyolali
90xc14h4,Jawa Tengah,Sukoharjo
640v37s9,Jawa Tengah,Wonogiri
ta093t7j,Jawa Tengah,Karanganyar
b03d10m0,Jawa Tengah,Sragen
6w1f52f3,Jawa Tengah,Grobogan
d87f2lhv,Jawa Tengah,Blora
g2z59v95,Jawa Tengah,Rembang
1cupo590,Jawa Tengah,Pati
bz6695a9,Jawa Tengah,Kudus
28k2l685,Jawa Tengah,Demak
86ib0w0z,Jawa Tengah,Semarang
8zk090b2,Jawa Tengah,Temanggung
638cz6cs,Jawa Tengah,Kendal
52790293,Jawa Tengah,Batang
4hn32k94,Jawa Tengah,Pekalongan
4wgr4lj3,Jawa Tengah,Pemalang
pexni0n4,Jawa Tengah,Tegal
4594cets,Jawa Tengah,Brebes
0l7q0l78,Jawa Tengah,Kota Magelang
bd0ke5mk,Jawa Tengah,Kota Surakarta
76wqm0l3,Jawa Tengah,Kota Salatiga
2p6fh355,Jawa Tengah,Kota Semarang
83yiwof1,Jawa Tengah,Kota Pekalongan
6zzx3sf4,Jawa Tengah,Kota Tegal
36jfvw77,DI Yogyakarta,Kulon Progo
57dp6kwy,DI Yogyakarta,Bantul
73523qk9,DI Yogyakarta,Gunungkidul
soes5q48,DI Yogyakarta,Sleman
h5202eu8,DI Yogyakarta,Kota Yogyakarta
69fe2tv9,Jawa Timur,Pacitan
i6v01w5e,Jawa Timur,Ponorogo
42nuz598,Jawa Timur,Trenggalek
9jg104k9,Jawa Timur,Tulungagung
r9ns976x,Jawa Timur,Blitar
93prr3ph,Jawa Timur,Kediri
ay9kil63,Jawa Timur,Malang
